                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6266,                 4.1474,                 1.5345,                0.00228,                0.64062,                0.04362,                0.02458,                      0,                    inf,                      0,                 0.0883,                 0.0013,                 0.0013
                      1,                 1.4001,                 3.3421,                 1.2614,                  0.003,                0.84375,                0.18109,                0.10276,                      0,                    inf,                      0,               0.075687,              0.0026866,              0.0026866
                      2,                 1.4539,                 2.1693,                 1.2561,                0.00294,                0.82812,                0.39616,                0.23201,                      0,                    inf,                      0,               0.063059,              0.0040594,              0.0040594
                      3,                 1.4386,                 1.8576,                 1.1894,                  0.003,                0.84375,                0.51757,                0.26019,                      0,                    inf,                      0,               0.050418,              0.0054183,              0.0054183
                      4,                 1.5051,                 1.6762,                 1.2159,                0.00339,                0.95312,                0.55215,                0.28575,                      0,                    inf,                      0,               0.037763,              0.0067634,              0.0067634
                      5,                  1.487,                 1.5569,                 1.2321,                0.85678,                0.42188,                0.77916,                0.37983,                      0,                    inf,                      0,               0.025095,              0.0080946,              0.0080946
                      6,                 1.6103,                  1.517,                 1.2574,                0.84255,                0.39062,                0.76996,                0.37403,                      0,                    inf,                      0,               0.012412,              0.0094119,              0.0094119
                      7,                 1.5113,                  1.564,                 1.2665,                0.88506,                0.48132,                0.64619,                  0.368,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      8,                 1.5469,                 1.4469,                 1.2687,                0.77672,                0.54359,                0.63136,                 0.3444,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5327,                 1.5652,                 1.2735,                0.52158,                0.67188,                0.60205,                0.30441,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     10,                  1.522,                 1.4831,                 1.2614,                 0.6643,                0.78125,                0.74861,                 0.3313,                      0,                    inf,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4805,                 1.4407,                 1.2715,                0.65448,                0.62157,                0.58076,                0.25236,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     12,                 1.4851,                 1.3148,                 1.2329,                0.70982,                  0.625,                0.66524,                0.31955,                      0,                    inf,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5131,                 1.3014,                 1.2542,                0.71155,                0.70312,                0.69165,                0.33127,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     14,                 1.5039,                 1.3439,                 1.2047,                0.75988,                0.69233,                0.71998,                0.34785,                      0,                    inf,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4725,                  1.303,                 1.2268,                0.71151,                0.64062,                0.62877,                0.27235,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     16,                 1.5002,                 1.2068,                 1.2472,                0.61382,                0.70312,                0.68643,                0.34646,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4848,                 1.2035,                 1.2607,                0.62245,                 0.6875,                0.58727,                0.28924,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
